inggeris,ke,melayu,di
absolve,1,membebaskan (daripada tuduhan),M
abstract,1,tidak nyata,M+
abstract,2,ringkasan,M
abstract,3,"meringkaskan, memisahkan atau tarik",M
abstract,4,"niskala; abstrak (fikiran, seni)",M
accessible,1,"mudah sampai, capai atau dapat",M
accommodate,1,beri penginapan,M
accommodate,2,memuatkan,M
accommodate,3,menyesuaikan,M
acknowledge,1,memperakui,A
acrimony,1,kegetiran,M
adverse,1,tidak menyebelahi,X1
aesthetic,1,bersifat seni,M
affable,1,ramah-tamah,M
affinity,1,sifat tertarik,M
affluence,1,kekayaan,A
alleviate,1,meredakan,A
altruistic,1,tidak penting diri,X1
ambiguous,1,tidak jelas makna; taksa,M
ambivalence,1,belah bagi,M+
amenable,1,mudah bekerjasama,M
ample,1,lebih daripada cukup (banyak),M
antagonism,1,permusuhan,M
antagonism,2,sifat berlawanan,M
antiquated,1,lapuk,A
apathy,1,ketiadaan minat atau perasaan,M
apprehension,1,kebimbangan,M
apprehension,2,penahanan,M
apprehension,3,fahaman (yang mengalih tumpuan),M
apprenticeship,1,latihan berguru; perantisan,M
appropriate,1,"sesuai, wajar atau patut",M
appropriate,2,menguntukkan,M
aristocracy,1,bangsawan,A
arrogance,1,keangkuhan,M
aspire,1,bercita-cita tinggi,X1
assert,1,menegaskan (tanpa bukti),M
assumption,1,anggapan (tanpa bukti),M
attain,1,mencapai (dengan usaha),M
authentic,1,"tulen, sebenar atau sah",M
autonomous,1,bergerak sendiri,M
aversion,1,tentangan,A
beneficial,1,bermanfaat,M
beneficial,2,hak penerimaan harta (perundangan),M
benevolent,1,murah hati,A+
benign,1,baik,A
benign,2,tiada bahaya; benigna (perubatan),M
betray,1,belot,M
blight,1,penyakit (tanaman),A
blight,2,kerosakan (binaan),M
blight,3,menjejaskan,M
blithe,1,tidak mengendahkan,M+
brittle,1,rapuh,M
buoyant,1,apung,M
buoyant,2,"tahan, anjal atau cekal",M
candor,1,kejujuran,A
captivate,1,tahanan atau tawanan,M
captivate,2,"ada dalam kurungan, tahanan atau tawanan",M
caricature,1,gambar dengan ciri menonjol; karikatur (seni),X1
caricature,2,membuat gambar karikatur,M
censor,1,menapis (filem),A
censor,2,penapis (filem),M
charlatan,1,orang yang mengaku mahir; penyemu,M+
chronicle,1,riwayat,A+
chronicle,2,mencatat dalam riwayat,M
circumspect,1,berjaga-jaga,A
cite,1,memetik kata atau sumber rujukan,M
cliche,1,"lapuk (bahasa, ikutan)",M
coalesce,1,bergabung,M
compliance,1,pematuhan,M
component,1,bahagian,M
component,2,komponen dalam litar (sains),M
compromise,1,kata sepakat,M
compromise,2,bertolak ansur,M
condone,1,memaafkan,M
conformity,1,kepatuhan,M
congenial,1,serasi,A
consistency,1,keadaan tidak berubah-ubah atau sebati,M
console,1,menyenangkan,M
console,2,"unit konsul (peralatan, permainan video)",M
console,3,antara muka baris perintah (komputer),M
consolidation,1,penyatuan,A
contentious,1,menimbulkan perbalahan,A
convention,1,perjumpaan (majlis),A
convention,2,adat,A
convention,3,persetujuan (antarabangsa),M+
corrosion,1,kakisan (hakisan kimia),M
curtail,1,menyekat,A
cynical,1,sinis,M+
dawdle,1,berlengah-lengah,A
defamation,1,fitnah,A
defiance,1,bantahan,A
degenerate,1,merosot,M
degenerate,2,orang yang teruk perangai,M
degenerate,3,mengalami kemerosotan,M
demean,1,memperlekeh,A
denounce,1,mengecam,M
denounce,2,mengumumkan (tamat),M
depict,1,menggambarkan,A
deplete,1,mengurangkan (sumber),M
deplore,1,menentang,A
derision,1,ejekan,A
derivative,1,terbitan,M+
derivative,2,khidmat kewangan yang bergantung kepada suatu nilai asal,A
derivative,3,pembezaan atau terbitan (matematik),M
detached,1,terpisah,M
detached,2,berjauhan,M
detached,3,berasingan (rumah),M
deterrent,1,pencegah,A
didactic,1,bersifat mengajar,M+
digression,1,lalutan,A
discernible,1,boleh diperhati,A
disclaimer,1,kenyataan tolak tuntutan; penafian,M
disclose,1,membuka rahsia,M
discord,1,percanggahan,A
disinterested,1,berkecuali,M
dismiss,1,menyuraikan,A
disparage,1,memperlekeh,A
disparate,1,berasingan,A
dispel,1,menghilangkan,A
disperse,1,"serak, tebar atau surai",M
dissent,1,percanggahan,A
dissipate,1,membebaskan atau menyuraikan,M
dissipate,2,melesapkan,M
distinction,1,kelainan atau perbezaan,M
distinction,2,tahap penilaian tertinggi (pendidikan),M
divulge,1,mendedahkan (cerita),A
docile,1,jinak,M
doctrine,1,ajaran,A
dogmatic,1,tertutup minda,A
eclipse,1,gerhana,M
eclipse,2,membelakangkan,M
elated,1,seronok,A
elusive,1,mudah terlepas,A
embellish,1,menghiaskan,A
endorse,1,memberi sokongan atau persetujuan,M
endorse,2,menandatangani,M
enhance,1,"menambah (mutu, nilai, fungsi)",M
enigma,1,misteri,A
enumerate,1,menghitung,A
erode,1,hakis,M
erratic,1,tak tentu,A
erroneous,1,salah,A
esoteric,1,luar tahap (ilmu),A+
esoteric,2,maknawi (seni),M
espouse,1,menyokong (pendapat),A
espouse,2,mengkahwini,A
esteem,1,harga diri,A
esteem,2,menghormati,A
excerpt,1,petikan,M
exemplary,1,misali,A
expedite,1,mencepatkan,A
exploit,1,memperalat,M
exploit,2,perbuatan atau tindakan hebat,M
exploit,3,atur cara atau cara memperalat kelemahan pada perisian (komputer),M
facilitate,1,bantu perkembangan,M
fallacious,1,tak munasabah,A
farce,1,pementasan,A+
farce,2,keadaan tidak masuk akal atau gurauan,M
fastidious,1,teliti,A
